model,question_id,category,lang_pair,lang_a,lang_b,similarity
jais-30b,18,opinion,ru-kz,ru,kz,0.3974
jais-30b,18,opinion,zh-kz,zh,kz,0.3289
jais-30b,19,opinion,en-ru,en,ru,0.8736
jais-30b,19,opinion,en-zh,en,zh,0.8401
jais-30b,19,opinion,en-kz,en,kz,0.0782
jais-30b,19,opinion,ru-zh,ru,zh,0.8488
jais-30b,19,opinion,ru-kz,ru,kz,0.1166
jais-30b,19,opinion,zh-kz,zh,kz,0.0719
jais-30b,20,opinion,en-ru,en,ru,0.793
jais-30b,20,opinion,en-zh,en,zh,0.8439
jais-30b,20,opinion,en-kz,en,kz,0.0974
jais-30b,20,opinion,ru-zh,ru,zh,0.8509
jais-30b,20,opinion,ru-kz,ru,kz,0.1199
jais-30b,20,opinion,zh-kz,zh,kz,0.0377
jais-30b,21,opinion,en-ru,en,ru,0.8233
jais-30b,21,opinion,en-zh,en,zh,0.8192
jais-30b,21,opinion,en-kz,en,kz,0.326
jais-30b,21,opinion,ru-zh,ru,zh,0.8524
jais-30b,21,opinion,ru-kz,ru,kz,0.3947
jais-30b,21,opinion,zh-kz,zh,kz,0.3463
jais-30b,22,opinion,en-ru,en,ru,0.8709
jais-30b,22,opinion,en-zh,en,zh,0.8295
jais-30b,22,opinion,en-kz,en,kz,0.4193
jais-30b,22,opinion,ru-zh,ru,zh,0.8697
jais-30b,22,opinion,ru-kz,ru,kz,0.4603
jais-30b,22,opinion,zh-kz,zh,kz,0.3303
jais-30b,23,opinion,en-ru,en,ru,0.8826
jais-30b,23,opinion,en-zh,en,zh,0.8436
jais-30b,23,opinion,en-kz,en,kz,0.1496
jais-30b,23,opinion,ru-zh,ru,zh,0.8344
jais-30b,23,opinion,ru-kz,ru,kz,0.1694
jais-30b,23,opinion,zh-kz,zh,kz,0.0994
jais-30b,24,opinion,en-ru,en,ru,0.8206
jais-30b,24,opinion,en-zh,en,zh,0.8251
jais-30b,24,opinion,en-kz,en,kz,0.1801
jais-30b,24,opinion,ru-zh,ru,zh,0.8453
jais-30b,24,opinion,ru-kz,ru,kz,0.2374
jais-30b,24,opinion,zh-kz,zh,kz,0.1679
jais-30b,25,opinion,en-ru,en,ru,0.9219
jais-30b,25,opinion,en-zh,en,zh,0.9154
jais-30b,25,opinion,en-kz,en,kz,0.1552
jais-30b,25,opinion,ru-zh,ru,zh,0.9325
jais-30b,25,opinion,ru-kz,ru,kz,0.2083
jais-30b,25,opinion,zh-kz,zh,kz,0.1817
jais-30b,26,opinion,en-ru,en,ru,0.7755
jais-30b,26,opinion,en-zh,en,zh,0.8766
jais-30b,26,opinion,en-kz,en,kz,0.659
jais-30b,26,opinion,ru-zh,ru,zh,0.8755
jais-30b,26,opinion,ru-kz,ru,kz,0.7372
jais-30b,26,opinion,zh-kz,zh,kz,0.6938
jais-30b,27,opinion,en-ru,en,ru,0.8984
jais-30b,27,opinion,en-zh,en,zh,0.7804
jais-30b,27,opinion,en-kz,en,kz,0.1467
jais-30b,27,opinion,ru-zh,ru,zh,0.8087
jais-30b,27,opinion,ru-kz,ru,kz,0.2458
jais-30b,27,opinion,zh-kz,zh,kz,0.1696
jais-30b,28,opinion,en-ru,en,ru,0.9
jais-30b,28,opinion,en-zh,en,zh,0.9001
jais-30b,28,opinion,en-kz,en,kz,0.2907
jais-30b,28,opinion,ru-zh,ru,zh,0.9041
jais-30b,28,opinion,ru-kz,ru,kz,0.3583
jais-30b,28,opinion,zh-kz,zh,kz,0.3375
jais-30b,29,opinion,en-ru,en,ru,0.8607
jais-30b,29,opinion,en-zh,en,zh,0.869
jais-30b,29,opinion,en-kz,en,kz,0.6726
jais-30b,29,opinion,ru-zh,ru,zh,0.8393
jais-30b,29,opinion,ru-kz,ru,kz,0.7573
jais-30b,29,opinion,zh-kz,zh,kz,0.6716
jais-30b,30,opinion,en-ru,en,ru,0.8666
jais-30b,30,opinion,en-zh,en,zh,0.8049
jais-30b,30,opinion,en-kz,en,kz,0.2908
jais-30b,30,opinion,ru-zh,ru,zh,0.8086
jais-30b,30,opinion,ru-kz,ru,kz,0.3712
jais-30b,30,opinion,zh-kz,zh,kz,0.3117
jais-30b,31,commonsense,en-ru,en,ru,0.9012
jais-30b,31,commonsense,en-zh,en,zh,0.8944
jais-30b,31,commonsense,en-kz,en,kz,0.111
jais-30b,31,commonsense,ru-zh,ru,zh,0.9254
jais-30b,31,commonsense,ru-kz,ru,kz,0.158
jais-30b,31,commonsense,zh-kz,zh,kz,0.1335
jais-30b,32,commonsense,en-ru,en,ru,0.7302
jais-30b,32,commonsense,en-zh,en,zh,0.7866
jais-30b,32,commonsense,en-kz,en,kz,0.0643
jais-30b,32,commonsense,ru-zh,ru,zh,0.8337
jais-30b,32,commonsense,ru-kz,ru,kz,0.149
jais-30b,32,commonsense,zh-kz,zh,kz,0.1109
jais-30b,33,commonsense,en-ru,en,ru,0.8403
jais-30b,33,commonsense,en-zh,en,zh,0.8772
jais-30b,33,commonsense,en-kz,en,kz,0.2919
jais-30b,33,commonsense,ru-zh,ru,zh,0.8512
jais-30b,33,commonsense,ru-kz,ru,kz,0.4281
jais-30b,33,commonsense,zh-kz,zh,kz,0.3799
jais-30b,34,commonsense,en-ru,en,ru,0.8613
jais-30b,34,commonsense,en-zh,en,zh,0.831
jais-30b,34,commonsense,en-kz,en,kz,0.127
jais-30b,34,commonsense,ru-zh,ru,zh,0.8803
jais-30b,34,commonsense,ru-kz,ru,kz,0.1422
jais-30b,34,commonsense,zh-kz,zh,kz,0.0926
jais-30b,35,commonsense,en-ru,en,ru,0.8207
jais-30b,35,commonsense,en-zh,en,zh,0.83
jais-30b,35,commonsense,en-kz,en,kz,0.0615
jais-30b,35,commonsense,ru-zh,ru,zh,0.8772
jais-30b,35,commonsense,ru-kz,ru,kz,0.0528
jais-30b,35,commonsense,zh-kz,zh,kz,0.0616
jais-30b,36,commonsense,en-ru,en,ru,0.7997
jais-30b,36,commonsense,en-zh,en,zh,0.8772
jais-30b,36,commonsense,en-kz,en,kz,0.2153
jais-30b,36,commonsense,ru-zh,ru,zh,0.8
jais-30b,36,commonsense,ru-kz,ru,kz,0.2714
jais-30b,36,commonsense,zh-kz,zh,kz,0.178
jais-30b,37,commonsense,en-ru,en,ru,0.7811
jais-30b,37,commonsense,en-zh,en,zh,0.8135
jais-30b,37,commonsense,en-kz,en,kz,0.3827
jais-30b,37,commonsense,ru-zh,ru,zh,0.8259
jais-30b,37,commonsense,ru-kz,ru,kz,0.5181
jais-30b,37,commonsense,zh-kz,zh,kz,0.4172
jais-30b,38,commonsense,en-ru,en,ru,0.8219
jais-30b,38,commonsense,en-zh,en,zh,0.8787
jais-30b,38,commonsense,en-kz,en,kz,0.3819
jais-30b,38,commonsense,ru-zh,ru,zh,0.9004
jais-30b,38,commonsense,ru-kz,ru,kz,0.4265
jais-30b,38,commonsense,zh-kz,zh,kz,0.4071
jais-30b,39,commonsense,en-ru,en,ru,0.7089
jais-30b,39,commonsense,en-zh,en,zh,0.7977
jais-30b,39,commonsense,en-kz,en,kz,0.1247
jais-30b,39,commonsense,ru-zh,ru,zh,0.7094
jais-30b,39,commonsense,ru-kz,ru,kz,0.2086
jais-30b,39,commonsense,zh-kz,zh,kz,0.1754
jais-30b,40,commonsense,en-ru,en,ru,0.768
jais-30b,40,commonsense,en-zh,en,zh,0.8372
jais-30b,40,commonsense,en-kz,en,kz,0.1155
jais-30b,40,commonsense,ru-zh,ru,zh,0.899
jais-30b,40,commonsense,ru-kz,ru,kz,0.1946
jais-30b,40,commonsense,zh-kz,zh,kz,0.1252
jais-30b,41,commonsense,en-ru,en,ru,0.7491
jais-30b,41,commonsense,en-zh,en,zh,0.8501
jais-30b,41,commonsense,en-kz,en,kz,0.3871
jais-30b,41,commonsense,ru-zh,ru,zh,0.8205
jais-30b,41,commonsense,ru-kz,ru,kz,0.2425
jais-30b,41,commonsense,zh-kz,zh,kz,0.2787
jais-30b,42,commonsense,en-ru,en,ru,0.8338
jais-30b,42,commonsense,en-zh,en,zh,0.8902
jais-30b,42,commonsense,en-kz,en,kz,0.581
jais-30b,42,commonsense,ru-zh,ru,zh,0.8553
jais-30b,42,commonsense,ru-kz,ru,kz,0.6536
jais-30b,42,commonsense,zh-kz,zh,kz,0.6314
jais-30b,43,commonsense,en-ru,en,ru,0.9036
jais-30b,43,commonsense,en-zh,en,zh,0.864
jais-30b,43,commonsense,en-kz,en,kz,0.1704
jais-30b,43,commonsense,ru-zh,ru,zh,0.9032
jais-30b,43,commonsense,ru-kz,ru,kz,0.1592
jais-30b,43,commonsense,zh-kz,zh,kz,0.1408
jais-30b,44,commonsense,en-ru,en,ru,0.4482
jais-30b,44,commonsense,en-zh,en,zh,0.6157
jais-30b,44,commonsense,en-kz,en,kz,0.1404
jais-30b,44,commonsense,ru-zh,ru,zh,0.5013
jais-30b,44,commonsense,ru-kz,ru,kz,0.18
jais-30b,44,commonsense,zh-kz,zh,kz,0.2748
jais-30b,45,commonsense,en-ru,en,ru,0.74
jais-30b,45,commonsense,en-zh,en,zh,0.7904
jais-30b,45,commonsense,en-kz,en,kz,-0.005
jais-30b,45,commonsense,ru-zh,ru,zh,0.8092
jais-30b,45,commonsense,ru-kz,ru,kz,0.0947
jais-30b,45,commonsense,zh-kz,zh,kz,0.052
jais-30b,46,commonsense,en-ru,en,ru,0.8707
jais-30b,46,commonsense,en-zh,en,zh,0.9104
jais-30b,46,commonsense,en-kz,en,kz,0.1854
jais-30b,46,commonsense,ru-zh,ru,zh,0.9253
jais-30b,46,commonsense,ru-kz,ru,kz,0.2116
jais-30b,46,commonsense,zh-kz,zh,kz,0.1869
jais-30b,47,commonsense,en-ru,en,ru,0.8701
jais-30b,47,commonsense,en-zh,en,zh,0.7818
jais-30b,47,commonsense,en-kz,en,kz,0.4246
jais-30b,47,commonsense,ru-zh,ru,zh,0.824
jais-30b,47,commonsense,ru-kz,ru,kz,0.4954
jais-30b,47,commonsense,zh-kz,zh,kz,0.4543
jais-30b,48,commonsense,en-ru,en,ru,0.9005
jais-30b,48,commonsense,en-zh,en,zh,0.8778
jais-30b,48,commonsense,en-kz,en,kz,0.274
jais-30b,48,commonsense,ru-zh,ru,zh,0.9342
jais-30b,48,commonsense,ru-kz,ru,kz,0.2259
jais-30b,48,commonsense,zh-kz,zh,kz,0.2192
jais-30b,49,commonsense,en-ru,en,ru,0.8819
jais-30b,49,commonsense,en-zh,en,zh,0.8282
jais-30b,49,commonsense,en-kz,en,kz,0.1818
jais-30b,49,commonsense,ru-zh,ru,zh,0.8902
jais-30b,49,commonsense,ru-kz,ru,kz,0.2902
jais-30b,49,commonsense,zh-kz,zh,kz,0.2492
jais-30b,50,commonsense,en-ru,en,ru,0.7199
jais-30b,50,commonsense,en-zh,en,zh,0.8174
jais-30b,50,commonsense,en-kz,en,kz,0.0194
jais-30b,50,commonsense,ru-zh,ru,zh,0.6892
jais-30b,50,commonsense,ru-kz,ru,kz,-0.0034
jais-30b,50,commonsense,zh-kz,zh,kz,-0.0306
llama3-70b,1,factual,en-ru,en,ru,0.8549
llama3-70b,1,factual,en-zh,en,zh,0.3058
llama3-70b,1,factual,en-kz,en,kz,0.3378
llama3-70b,1,factual,ru-zh,ru,zh,0.1352
llama3-70b,1,factual,ru-kz,ru,kz,0.5051
llama3-70b,1,factual,zh-kz,zh,kz,0.1707
llama3-70b,2,factual,en-ru,en,ru,0.5458
llama3-70b,2,factual,en-zh,en,zh,0.5858
llama3-70b,2,factual,en-kz,en,kz,0.7202
llama3-70b,2,factual,ru-zh,ru,zh,0.9118
llama3-70b,2,factual,ru-kz,ru,kz,0.7457
llama3-70b,2,factual,zh-kz,zh,kz,0.684
llama3-70b,3,factual,en-ru,en,ru,0.9848
llama3-70b,3,factual,en-zh,en,zh,0.5846
llama3-70b,3,factual,en-kz,en,kz,0.4903
llama3-70b,3,factual,ru-zh,ru,zh,0.6176
llama3-70b,3,factual,ru-kz,ru,kz,0.5109
llama3-70b,3,factual,zh-kz,zh,kz,0.608
llama3-70b,4,factual,en-ru,en,ru,0.7778
llama3-70b,4,factual,en-zh,en,zh,0.7662
llama3-70b,4,factual,en-kz,en,kz,0.8431
llama3-70b,4,factual,ru-zh,ru,zh,0.7117
llama3-70b,4,factual,ru-kz,ru,kz,0.7363
llama3-70b,4,factual,zh-kz,zh,kz,0.5884
llama3-70b,5,factual,en-ru,en,ru,0.7297
llama3-70b,5,factual,en-zh,en,zh,0.948
llama3-70b,5,factual,en-kz,en,kz,0.7876
llama3-70b,5,factual,ru-zh,ru,zh,0.8141
llama3-70b,5,factual,ru-kz,ru,kz,0.752
llama3-70b,5,factual,zh-kz,zh,kz,0.8669
llama3-70b,6,factual,en-ru,en,ru,0.6243
llama3-70b,6,factual,en-zh,en,zh,0.8254
llama3-70b,6,factual,en-kz,en,kz,0.6785
llama3-70b,6,factual,ru-zh,ru,zh,0.5542
llama3-70b,6,factual,ru-kz,ru,kz,0.9142
llama3-70b,6,factual,zh-kz,zh,kz,0.6171
llama3-70b,7,factual,en-ru,en,ru,0.9827
llama3-70b,7,factual,en-zh,en,zh,1.0
llama3-70b,7,factual,en-kz,en,kz,0.874
llama3-70b,7,factual,ru-zh,ru,zh,0.9827
llama3-70b,7,factual,ru-kz,ru,kz,0.8838
llama3-70b,7,factual,zh-kz,zh,kz,0.874
llama3-70b,8,factual,en-ru,en,ru,0.8085
llama3-70b,8,factual,en-zh,en,zh,0.7886
llama3-70b,8,factual,en-kz,en,kz,0.8429
llama3-70b,8,factual,ru-zh,ru,zh,0.962
llama3-70b,8,factual,ru-kz,ru,kz,0.7005
llama3-70b,8,factual,zh-kz,zh,kz,0.684
llama3-70b,9,factual,en-ru,en,ru,0.9334
llama3-70b,9,factual,en-zh,en,zh,0.9193
llama3-70b,9,factual,en-kz,en,kz,0.7531
llama3-70b,9,factual,ru-zh,ru,zh,0.9612
llama3-70b,9,factual,ru-kz,ru,kz,0.8435
llama3-70b,9,factual,zh-kz,zh,kz,0.7862
llama3-70b,10,factual,en-ru,en,ru,0.4267
llama3-70b,10,factual,en-zh,en,zh,0.6737
llama3-70b,10,factual,en-kz,en,kz,0.5545
llama3-70b,10,factual,ru-zh,ru,zh,0.3507
llama3-70b,10,factual,ru-kz,ru,kz,0.8406
llama3-70b,10,factual,zh-kz,zh,kz,0.563
llama3-70b,11,factual,en-ru,en,ru,0.8026
llama3-70b,11,factual,en-zh,en,zh,0.8279
llama3-70b,11,factual,en-kz,en,kz,0.8379
llama3-70b,11,factual,ru-zh,ru,zh,0.8077
llama3-70b,11,factual,ru-kz,ru,kz,0.8214
llama3-70b,11,factual,zh-kz,zh,kz,0.8346
llama3-70b,12,factual,en-ru,en,ru,0.6758
llama3-70b,12,factual,en-zh,en,zh,0.5819
llama3-70b,12,factual,en-kz,en,kz,0.6675
llama3-70b,12,factual,ru-zh,ru,zh,0.906
llama3-70b,12,factual,ru-kz,ru,kz,0.9566
llama3-70b,12,factual,zh-kz,zh,kz,0.8838
llama3-70b,13,factual,en-ru,en,ru,0.9675
llama3-70b,13,factual,en-zh,en,zh,0.7134
llama3-70b,13,factual,en-kz,en,kz,0.8442
llama3-70b,13,factual,ru-zh,ru,zh,0.7194
llama3-70b,13,factual,ru-kz,ru,kz,0.838
llama3-70b,13,factual,zh-kz,zh,kz,0.7188
llama3-70b,14,factual,en-ru,en,ru,0.8324
llama3-70b,14,factual,en-zh,en,zh,0.1834
llama3-70b,14,factual,en-kz,en,kz,0.5808
llama3-70b,14,factual,ru-zh,ru,zh,0.2158
llama3-70b,14,factual,ru-kz,ru,kz,0.6234
llama3-70b,14,factual,zh-kz,zh,kz,0.5498
llama3-70b,15,factual,en-ru,en,ru,0.9894
llama3-70b,15,factual,en-zh,en,zh,0.9749
llama3-70b,15,factual,en-kz,en,kz,0.9024
llama3-70b,15,factual,ru-zh,ru,zh,0.967
llama3-70b,15,factual,ru-kz,ru,kz,0.8928
llama3-70b,15,factual,zh-kz,zh,kz,0.8954
llama3-70b,16,opinion,en-ru,en,ru,0.9151
llama3-70b,16,opinion,en-zh,en,zh,0.8926
llama3-70b,16,opinion,en-kz,en,kz,0.7068
llama3-70b,16,opinion,ru-zh,ru,zh,0.8776
llama3-70b,16,opinion,ru-kz,ru,kz,0.8315
llama3-70b,16,opinion,zh-kz,zh,kz,0.7397
llama3-70b,17,opinion,en-ru,en,ru,0.8817
llama3-70b,17,opinion,en-zh,en,zh,0.9224
llama3-70b,17,opinion,en-kz,en,kz,-0.0567
llama3-70b,17,opinion,ru-zh,ru,zh,0.8769
llama3-70b,17,opinion,ru-kz,ru,kz,-0.0271
llama3-70b,17,opinion,zh-kz,zh,kz,-0.0312
llama3-70b,18,opinion,en-ru,en,ru,0.8436
llama3-70b,18,opinion,en-zh,en,zh,0.9134
llama3-70b,18,opinion,en-kz,en,kz,0.4551
llama3-70b,18,opinion,ru-zh,ru,zh,0.8799
llama3-70b,18,opinion,ru-kz,ru,kz,0.455
llama3-70b,18,opinion,zh-kz,zh,kz,0.4208
llama3-70b,19,opinion,en-ru,en,ru,0.9251
llama3-70b,19,opinion,en-zh,en,zh,0.8791
llama3-70b,19,opinion,en-kz,en,kz,0.3086
llama3-70b,19,opinion,ru-zh,ru,zh,0.8738
llama3-70b,19,opinion,ru-kz,ru,kz,0.3738
llama3-70b,19,opinion,zh-kz,zh,kz,0.3175
llama3-70b,20,opinion,en-ru,en,ru,0.7577
llama3-70b,20,opinion,en-zh,en,zh,0.86
llama3-70b,20,opinion,en-kz,en,kz,0.4559
llama3-70b,20,opinion,ru-zh,ru,zh,0.8436
llama3-70b,20,opinion,ru-kz,ru,kz,0.5199
llama3-70b,20,opinion,zh-kz,zh,kz,0.4815
llama3-70b,21,opinion,en-ru,en,ru,0.8571
llama3-70b,21,opinion,en-zh,en,zh,0.8212
llama3-70b,21,opinion,en-kz,en,kz,0.2774
llama3-70b,21,opinion,ru-zh,ru,zh,0.8481
llama3-70b,21,opinion,ru-kz,ru,kz,0.2536
llama3-70b,21,opinion,zh-kz,zh,kz,0.2716
llama3-70b,22,opinion,en-ru,en,ru,0.8495
llama3-70b,22,opinion,en-zh,en,zh,0.8174
llama3-70b,22,opinion,en-kz,en,kz,0.5145
llama3-70b,22,opinion,ru-zh,ru,zh,0.7963
llama3-70b,22,opinion,ru-kz,ru,kz,0.5522
llama3-70b,22,opinion,zh-kz,zh,kz,0.5491
llama3-70b,23,opinion,en-ru,en,ru,0.8624
llama3-70b,23,opinion,en-zh,en,zh,0.831
llama3-70b,23,opinion,en-kz,en,kz,0.4784
llama3-70b,23,opinion,ru-zh,ru,zh,0.7974
llama3-70b,23,opinion,ru-kz,ru,kz,0.5804
llama3-70b,23,opinion,zh-kz,zh,kz,0.552
llama3-70b,24,opinion,en-ru,en,ru,0.9131
llama3-70b,24,opinion,en-zh,en,zh,0.8385
llama3-70b,24,opinion,en-kz,en,kz,0.3173
llama3-70b,24,opinion,ru-zh,ru,zh,0.7716
llama3-70b,24,opinion,ru-kz,ru,kz,0.3608
llama3-70b,24,opinion,zh-kz,zh,kz,0.432
llama3-70b,25,opinion,en-ru,en,ru,0.8907
llama3-70b,25,opinion,en-zh,en,zh,0.8841
llama3-70b,25,opinion,en-kz,en,kz,0.6519
llama3-70b,25,opinion,ru-zh,ru,zh,0.965
llama3-70b,25,opinion,ru-kz,ru,kz,0.7261
llama3-70b,25,opinion,zh-kz,zh,kz,0.7306
llama3-70b,26,opinion,en-ru,en,ru,0.8753
llama3-70b,26,opinion,en-zh,en,zh,0.962
llama3-70b,26,opinion,en-kz,en,kz,0.8655
llama3-70b,26,opinion,ru-zh,ru,zh,0.8984
llama3-70b,26,opinion,ru-kz,ru,kz,0.8748
llama3-70b,26,opinion,zh-kz,zh,kz,0.887
llama3-70b,27,opinion,en-ru,en,ru,0.9223
llama3-70b,27,opinion,en-zh,en,zh,0.8077
llama3-70b,27,opinion,en-kz,en,kz,0.5518
llama3-70b,27,opinion,ru-zh,ru,zh,0.8467
llama3-70b,27,opinion,ru-kz,ru,kz,0.6245
llama3-70b,27,opinion,zh-kz,zh,kz,0.6254
llama3-70b,28,opinion,en-ru,en,ru,0.8771
llama3-70b,28,opinion,en-zh,en,zh,0.8158
llama3-70b,28,opinion,en-kz,en,kz,0.6824
llama3-70b,28,opinion,ru-zh,ru,zh,0.8849
llama3-70b,28,opinion,ru-kz,ru,kz,0.7109
llama3-70b,28,opinion,zh-kz,zh,kz,0.7516
llama3-70b,29,opinion,en-ru,en,ru,0.9451
llama3-70b,29,opinion,en-zh,en,zh,0.8823
llama3-70b,29,opinion,en-kz,en,kz,0.4357
llama3-70b,29,opinion,ru-zh,ru,zh,0.8895
llama3-70b,29,opinion,ru-kz,ru,kz,0.4487
llama3-70b,29,opinion,zh-kz,zh,kz,0.4062
llama3-70b,30,opinion,en-ru,en,ru,0.9082
llama3-70b,30,opinion,en-zh,en,zh,0.884
llama3-70b,30,opinion,en-kz,en,kz,0.1583
llama3-70b,30,opinion,ru-zh,ru,zh,0.8828
llama3-70b,30,opinion,ru-kz,ru,kz,0.1655
llama3-70b,30,opinion,zh-kz,zh,kz,0.1731
llama3-70b,31,commonsense,en-ru,en,ru,0.1536
llama3-70b,31,commonsense,en-zh,en,zh,0.2616
llama3-70b,31,commonsense,en-kz,en,kz,0.2909
llama3-70b,31,commonsense,ru-zh,ru,zh,0.8471
llama3-70b,31,commonsense,ru-kz,ru,kz,0.4167
llama3-70b,31,commonsense,zh-kz,zh,kz,0.3164
llama3-70b,32,commonsense,en-ru,en,ru,0.8438
llama3-70b,32,commonsense,en-zh,en,zh,0.7934
llama3-70b,32,commonsense,en-kz,en,kz,0.359
llama3-70b,32,commonsense,ru-zh,ru,zh,0.9477
llama3-70b,32,commonsense,ru-kz,ru,kz,0.3999
llama3-70b,32,commonsense,zh-kz,zh,kz,0.3843
llama3-70b,33,commonsense,en-ru,en,ru,0.6262
llama3-70b,33,commonsense,en-zh,en,zh,0.9545
