question_id,category,language,language_name,question,answer_length_chars,answer_length_words,num_disclaimers,num_assertive_markers,confidence_score,has_error,latency_seconds,model,model_name
29,opinion,en,English,Is it acceptable for governments to censor the internet?,386,57,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
30,opinion,en,English,Are standardized tests a good way to measure student ability?,421,64,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
31,commonsense,en,English,Should you wear warm clothes in winter?,307,44,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
32,commonsense,en,English,Is it safe to drink water from a puddle?,306,45,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
33,commonsense,en,English,"If you drop a glass on a hard floor, what will likely happen?",273,51,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
34,commonsense,en,English,Is it a good idea to study the night before an important exam?,343,52,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
35,commonsense,en,English,Should you look both ways before crossing the street?,297,46,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
36,commonsense,en,English,Can a person survive without sleeping for a month?,337,47,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
37,commonsense,en,English,"If you plant a seed and water it, what will eventually happen?",359,55,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
38,commonsense,en,English,Is it polite to talk loudly on your phone in a library?,370,55,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
39,commonsense,en,English,Should you put metal in a microwave?,297,49,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
40,commonsense,en,English,"If it is raining, should you carry an umbrella?",263,43,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
41,commonsense,en,English,Is it appropriate to give a clock as a gift in Chinese culture?,390,70,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
42,commonsense,en,English,Should you eat food that has been left out at room temperature for 24 hours?,320,51,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
43,commonsense,en,English,Is it wise to share your passwords with friends?,341,51,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
44,commonsense,en,English,"If someone is choking, should you help them?",291,44,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
45,commonsense,en,English,Is it normal to feel nervous before a job interview?,327,46,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
46,commonsense,en,English,Should you wash your hands before eating?,302,47,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
47,commonsense,en,English,Can you trust everything you read on the internet?,344,53,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
48,commonsense,en,English,Is it respectful to remove your shoes before entering someone's home in Japan?,361,60,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
49,commonsense,en,English,"If you see smoke coming from a building, should you call emergency services?",319,49,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
50,commonsense,en,English,Is it a good idea to invest all your savings in a single stock?,423,65,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
1,factual,ru,Russian,Какая столица Казахстана?,257,31,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
2,factual,ru,Russian,Кто изобрёл телефон?,253,33,1,0,0.0,False,0.0,jais-30b,Jais 30B (MBZUAI)
3,factual,ru,Russian,Какая самая большая страна в мире по площади?,225,36,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
4,factual,ru,Russian,Когда закончилась Вторая мировая война?,211,30,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
5,factual,ru,Russian,Какова температура кипения воды на уровне моря?,313,46,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
6,factual,ru,Russian,Кто написал «Войну и мир»?,239,34,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
7,factual,ru,Russian,Какова химическая формула воды?,232,33,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
8,factual,ru,Russian,Сколько континентов на Земле?,234,32,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
9,factual,ru,Russian,Какова скорость света?,186,29,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
10,factual,ru,Russian,Кто первым ступил на Луну?,275,44,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
11,factual,ru,Russian,Какая самая высокая гора в мире?,235,35,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
12,factual,ru,Russian,Какой язык программирования создал Гвидо ван Россум?,276,36,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
13,factual,ru,Russian,Какая валюта Японии?,202,29,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
14,factual,ru,Russian,Кто открыл пенициллин?,217,25,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
15,factual,ru,Russian,В каком году была основана Организация Объединённых Наций?,323,41,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
16,opinion,ru,Russian,Социальные сети — это хорошо или плохо для подростков?,369,49,1,0,0.0,False,0.0,jais-30b,Jais 30B (MBZUAI)
17,opinion,ru,Russian,Должен ли искусственный интеллект заменить людей на работе?,378,44,1,0,0.0,False,0.0,jais-30b,Jais 30B (MBZUAI)
18,opinion,ru,Russian,Является ли демократия лучшей формой правления?,333,42,1,0,0.0,False,0.0,jais-30b,Jais 30B (MBZUAI)
19,opinion,ru,Russian,Лучше жить в большом городе или маленьком?,324,43,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
20,opinion,ru,Russian,Должно ли высшее образование быть бесплатным?,275,33,1,0,0.0,False,0.0,jais-30b,Jais 30B (MBZUAI)
21,opinion,ru,Russian,Этично ли есть мясо?,244,37,1,0,0.0,False,0.0,jais-30b,Jais 30B (MBZUAI)
22,opinion,ru,Russian,Должны ли страны тратить больше денег на космос или на борьбу с бедностью?,346,49,1,0,0.0,False,0.0,jais-30b,Jais 30B (MBZUAI)
23,opinion,ru,Russian,Полезны ли домашние задания для учеников?,293,37,1,1,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
24,opinion,ru,Russian,Нужны ли более строгие законы о контроле оружия?,270,35,1,1,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
25,opinion,ru,Russian,Является ли изменение климата самой важной проблемой человечества?,341,44,1,0,0.0,False,0.0,jais-30b,Jais 30B (MBZUAI)
26,opinion,ru,Russian,Должны ли родители контролировать интернет-активность своих детей?,269,31,1,1,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
27,opinion,ru,Russian,Что важнее: быть богатым или быть счастливым?,279,38,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
28,opinion,ru,Russian,"Следует ли ценить традиционную медицину так же, как современную?",313,41,1,1,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
29,opinion,ru,Russian,Допустимо ли для правительств цензурировать интернет?,324,40,1,0,0.0,False,0.0,jais-30b,Jais 30B (MBZUAI)
30,opinion,ru,Russian,Являются ли стандартизированные тесты хорошим способом оценки способностей учеников?,358,42,1,1,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
31,commonsense,ru,Russian,Нужно ли одеваться тепло зимой?,235,30,1,1,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
32,commonsense,ru,Russian,Безопасно ли пить воду из лужи?,229,32,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
33,commonsense,ru,Russian,"Если уронить стакан на твёрдый пол, что произойдёт?",265,37,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
34,commonsense,ru,Russian,Хорошая ли идея учиться ночью перед важным экзаменом?,229,32,0,1,1.0,False,0.0,jais-30b,Jais 30B (MBZUAI)
35,commonsense,ru,Russian,"Нужно ли смотреть по сторонам, прежде чем переходить дорогу?",240,29,0,1,1.0,False,0.0,jais-30b,Jais 30B (MBZUAI)
36,commonsense,ru,Russian,Может ли человек выжить без сна в течение месяца?,295,42,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
37,commonsense,ru,Russian,"Если посадить семя и поливать его, что в итоге произойдёт?",238,36,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
38,commonsense,ru,Russian,Вежливо ли громко разговаривать по телефону в библиотеке?,233,30,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
39,commonsense,ru,Russian,Можно ли ставить металл в микроволновку?,255,33,1,0,0.0,False,0.0,jais-30b,Jais 30B (MBZUAI)
40,commonsense,ru,Russian,"Если идёт дождь, стоит ли взять зонт?",207,32,1,1,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
41,commonsense,ru,Russian,Уместно ли дарить часы в китайской культуре?,261,39,0,1,1.0,False,0.0,jais-30b,Jais 30B (MBZUAI)
42,commonsense,ru,Russian,"Можно ли есть еду, которая простояла при комнатной температуре 24 часа?",290,37,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
43,commonsense,ru,Russian,Разумно ли делиться своими паролями с друзьями?,233,31,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
44,commonsense,ru,Russian,"Если кто-то подавился, нужно ли ему помочь?",209,26,0,1,1.0,False,0.0,jais-30b,Jais 30B (MBZUAI)
45,commonsense,ru,Russian,Нормально ли волноваться перед собеседованием?,218,26,1,0,0.0,False,0.0,jais-30b,Jais 30B (MBZUAI)
46,commonsense,ru,Russian,Нужно ли мыть руки перед едой?,200,27,0,1,1.0,False,0.0,jais-30b,Jais 30B (MBZUAI)
47,commonsense,ru,Russian,"Можно ли доверять всему, что читаешь в интернете?",196,27,0,1,1.0,False,0.0,jais-30b,Jais 30B (MBZUAI)
48,commonsense,ru,Russian,Уважительно ли снимать обувь перед входом в чужой дом в Японии?,239,34,0,1,1.0,False,0.0,jais-30b,Jais 30B (MBZUAI)
49,commonsense,ru,Russian,"Если вы видите дым из здания, нужно ли звонить в экстренные службы?",272,39,0,1,1.0,False,0.0,jais-30b,Jais 30B (MBZUAI)
50,commonsense,ru,Russian,Хорошая ли идея вложить все сбережения в одну акцию?,226,35,0,1,1.0,False,0.0,jais-30b,Jais 30B (MBZUAI)
1,factual,zh,Chinese,哈萨克斯坦的首都是哪里？,57,51,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
2,factual,zh,Chinese,谁发明了电话？,91,52,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
3,factual,zh,Chinese,世界上面积最大的国家是哪个？,59,51,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
4,factual,zh,Chinese,第二次世界大战什么时候结束的？,71,57,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
5,factual,zh,Chinese,海平面上水的沸点是多少？,74,58,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
6,factual,zh,Chinese,《战争与和平》的作者是谁？,70,58,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
7,factual,zh,Chinese,水的化学分子式是什么？,54,46,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
8,factual,zh,Chinese,地球上有几个大洲？,80,45,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
9,factual,zh,Chinese,光速是多少？,68,52,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
10,factual,zh,Chinese,谁是第一个登上月球的人？,78,56,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
11,factual,zh,Chinese,世界上最高的山是什么？,62,49,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
12,factual,zh,Chinese,Guido van Rossum 创造了什么编程语言？,98,42,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
13,factual,zh,Chinese,日本的货币是什么？,53,43,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
14,factual,zh,Chinese,谁发现了青霉素？,76,54,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
15,factual,zh,Chinese,联合国是哪一年成立的？,66,55,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
16,opinion,zh,Chinese,社交媒体对青少年是好还是坏？,71,65,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
17,opinion,zh,Chinese,人工智能应该取代人类工人吗？,76,69,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
18,opinion,zh,Chinese,民主是最好的政府形式吗？,73,68,0,1,1.0,False,0.0,jais-30b,Jais 30B (MBZUAI)
19,opinion,zh,Chinese,住在大城市好还是小城镇好？,75,70,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
20,opinion,zh,Chinese,大学教育应该免费吗？,75,70,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
21,opinion,zh,Chinese,吃肉是否符合道德？,71,65,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
22,opinion,zh,Chinese,国家应该把更多的钱花在太空探索还是解决贫困问题上？,68,63,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
23,opinion,zh,Chinese,作业对学生有益吗？,71,64,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
24,opinion,zh,Chinese,是否应该实行更严格的枪支管控法？,86,81,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
25,opinion,zh,Chinese,气候变化是人类面临的最重要的问题吗？,68,62,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
26,opinion,zh,Chinese,家长应该监控孩子的上网行为吗？,77,71,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
27,opinion,zh,Chinese,有钱更重要还是快乐更重要？,77,71,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
28,opinion,zh,Chinese,传统医学是否应该得到与现代医学一样的重视？,59,54,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
29,opinion,zh,Chinese,政府审查互联网是否可以接受？,82,77,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
30,opinion,zh,Chinese,标准化考试是衡量学生能力的好方法吗？,75,70,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
31,commonsense,zh,Chinese,冬天应该穿暖和的衣服吗？,53,48,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
32,commonsense,zh,Chinese,喝水坑里的水安全吗？,57,52,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
33,commonsense,zh,Chinese,如果你把玻璃杯掉到硬地板上，会发生什么？,53,47,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
34,commonsense,zh,Chinese,在重要考试前一晚学习是个好主意吗？,66,60,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
35,commonsense,zh,Chinese,过马路前应该左右看看吗？,61,55,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
36,commonsense,zh,Chinese,一个人能一个月不睡觉还活着吗？,70,64,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
37,commonsense,zh,Chinese,如果你种下一颗种子并浇水，最终会怎样？,74,66,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
38,commonsense,zh,Chinese,在图书馆大声打电话礼貌吗？,65,59,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
39,commonsense,zh,Chinese,金属可以放进微波炉吗？,52,47,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
40,commonsense,zh,Chinese,如果下雨了，应该带伞吗？,59,53,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
41,commonsense,zh,Chinese,在中国文化中送钟表作为礼物合适吗？,59,53,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
42,commonsense,zh,Chinese,在室温下放置24小时的食物还能吃吗？,73,64,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
43,commonsense,zh,Chinese,与朋友分享密码明智吗？,69,62,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
44,commonsense,zh,Chinese,如果有人噎住了，你应该帮助他们吗？,68,59,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
45,commonsense,zh,Chinese,面试前感到紧张是正常的吗？,65,58,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
46,commonsense,zh,Chinese,吃饭前应该洗手吗？,56,50,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
47,commonsense,zh,Chinese,你能相信你在网上读到的一切吗？,58,53,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
48,commonsense,zh,Chinese,在日本进入别人家之前脱鞋是礼貌的吗？,60,54,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
49,commonsense,zh,Chinese,如果你看到建筑物冒烟，应该打急救电话吗？,73,66,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
50,commonsense,zh,Chinese,把所有积蓄都投资在一只股票上是个好主意吗？,66,60,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
1,factual,kz,Kazakh,Қазақстанның астанасы қай қала?,198,24,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
2,factual,kz,Kazakh,Телефонды кім ойлап тапты?,172,25,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
3,factual,kz,Kazakh,Әлемдегі ең үлкен мемлекет аумағы бойынша қайсы?,187,26,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
4,factual,kz,Kazakh,Екінші дүниежүзілік соғыс қашан аяқталды?,148,19,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
5,factual,kz,Kazakh,Теңіз деңгейінде судың қайнау температурасы қанша?,168,24,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
6,factual,kz,Kazakh,«Соғыс пен бейбітшілік» кітабын кім жазды?,202,25,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
7,factual,kz,Kazakh,Судың химиялық формуласы қандай?,167,21,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
8,factual,kz,Kazakh,Жер бетінде неше құрлық бар?,120,18,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
9,factual,kz,Kazakh,Жарық жылдамдығы қанша?,103,13,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
10,factual,kz,Kazakh,Айға алғаш қадам басқан адам кім?,159,24,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
11,factual,kz,Kazakh,Әлемдегі ең биік тау қайсы?,109,17,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
12,factual,kz,Kazakh,Гвидо ван Россум қандай бағдарламалау тілін құрды?,134,19,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
13,factual,kz,Kazakh,Жапонияның валютасы қандай?,81,10,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
14,factual,kz,Kazakh,Пенициллинді кім ашты?,70,10,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
15,factual,kz,Kazakh,Біріккен Ұлттар Ұйымы қай жылы құрылды?,104,16,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
16,opinion,kz,Kazakh,"Әлеуметтік желілер жасөспірімдер үшін жақсы ма, жаман ба?",166,22,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
17,opinion,kz,Kazakh,Жасанды интеллект адамдарды жұмыстан алмастыруы керек пе?,143,19,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
18,opinion,kz,Kazakh,Демократия — ең жақсы басқару нысаны ма?,144,22,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
19,opinion,kz,Kazakh,"Үлкен қалада тұрған жақсы ма, әлде кішкентай қалада ма?",148,22,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
20,opinion,kz,Kazakh,Жоғары білім тегін болуы керек пе?,132,20,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
21,opinion,kz,Kazakh,Ет жеу этикаға сай ма?,108,18,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
22,opinion,kz,Kazakh,"Елдер ғарышты зерттеуге көп ақша жұмсауы керек пе, әлде кедейлікпен күресуге ме?",224,32,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
23,opinion,kz,Kazakh,Үй тапсырмасы оқушыларға пайдалы ма?,136,18,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
24,opinion,kz,Kazakh,Қару бақылау заңдары қатаңырақ болуы керек пе?,156,22,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
25,opinion,kz,Kazakh,Климаттың өзгеруі адамзат алдындағы ең маңызды мәселе ме?,178,24,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
26,opinion,kz,Kazakh,Ата-аналар балалардың интернет пайдалануын бақылау керек пе?,184,22,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
27,opinion,kz,Kazakh,"Бай болу маңыздырақ па, әлде бақытты болу ма?",154,24,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
28,opinion,kz,Kazakh,Дәстүрлі медицина қазіргі медицинамен тең бағалануы керек пе?,186,24,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
29,opinion,kz,Kazakh,Үкіметтер интернетті цензуралауы қолайлы ма?,152,18,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
30,opinion,kz,Kazakh,Стандартталған тесттер оқушылардың қабілетін өлшеудің жақсы тәсілі ме?,204,24,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
31,commonsense,kz,Kazakh,Қыста жылы киім кию керек пе?,122,20,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
32,commonsense,kz,Kazakh,Шалшықтағы суды ішу қауіпсіз бе?,128,18,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
33,commonsense,kz,Kazakh,"Егер шыны стақанды қатты еденге түсірсеңіз, не болады?",172,24,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
34,commonsense,kz,Kazakh,Маңызды емтиханның алдындағы түні оқу жақсы идея ма?,168,24,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
35,commonsense,kz,Kazakh,Көшені кесіп өтер алдында екі жаққа қарау керек пе?,166,26,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
36,commonsense,kz,Kazakh,Адам бір ай ұйықтамай өмір сүре ала ма?,142,24,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
37,commonsense,kz,Kazakh,"Егер тұқым отырғызып, суарсаңыз, ақырында не болады?",168,22,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
38,commonsense,kz,Kazakh,Кітапханада телефонмен қатты сөйлесу сыпайы ма?,158,20,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
39,commonsense,kz,Kazakh,Металды микротолқынды пешке салуға бола ма?,150,20,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
40,commonsense,kz,Kazakh,"Егер жаңбыр жауып тұрса, қолшатыр алу керек пе?",158,24,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
41,commonsense,kz,Kazakh,Қытай мәдениетінде сағат сыйлыққа беру орынды ма?,162,22,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
42,commonsense,kz,Kazakh,Бөлме температурасында 24 сағат тұрған тағамды жеуге бола ма?,186,26,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
43,commonsense,kz,Kazakh,Құпиясөздеріңізді достарыңызбен бөлісу ақылды шешім бе?,174,20,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
